Date,BankNifty,Nifty
29-09-2016,40,75
30-09-2016,40,75
01-10-2016,40,75
02-10-2016,40,75
03-10-2016,40,75
04-10-2016,40,75
05-10-2016,40,75
06-10-2016,40,75
07-10-2016,40,75
08-10-2016,40,75
09-10-2016,40,75
10-10-2016,40,75
11-10-2016,40,75
12-10-2016,40,75
13-10-2016,40,75
14-10-2016,40,75
15-10-2016,40,75
16-10-2016,40,75
17-10-2016,40,75
18-10-2016,40,75
19-10-2016,40,75
20-10-2016,40,75
21-10-2016,40,75
22-10-2016,40,75
23-10-2016,40,75
24-10-2016,40,75
25-10-2016,40,75
26-10-2016,40,75
27-10-2016,40,75
28-10-2016,40,75
29-10-2016,40,75
30-10-2016,40,75
31-10-2016,40,75
01-11-2016,40,75
02-11-2016,40,75
03-11-2016,40,75
04-11-2016,40,75
05-11-2016,40,75
06-11-2016,40,75
07-11-2016,40,75
08-11-2016,40,75
09-11-2016,40,75
10-11-2016,40,75
11-11-2016,40,75
12-11-2016,40,75
13-11-2016,40,75
14-11-2016,40,75
15-11-2016,40,75
16-11-2016,40,75
17-11-2016,40,75
18-11-2016,40,75
19-11-2016,40,75
20-11-2016,40,75
21-11-2016,40,75
22-11-2016,40,75
23-11-2016,40,75
24-11-2016,40,75
25-11-2016,40,75
26-11-2016,40,75
27-11-2016,40,75
28-11-2016,40,75
29-11-2016,40,75
30-11-2016,40,75
01-12-2016,40,75
02-12-2016,40,75
03-12-2016,40,75
04-12-2016,40,75
05-12-2016,40,75
06-12-2016,40,75
07-12-2016,40,75
08-12-2016,40,75
09-12-2016,40,75
10-12-2016,40,75
11-12-2016,40,75
12-12-2016,40,75
13-12-2016,40,75
14-12-2016,40,75
15-12-2016,40,75
16-12-2016,40,75
17-12-2016,40,75
18-12-2016,40,75
19-12-2016,40,75
20-12-2016,40,75
21-12-2016,40,75
22-12-2016,40,75
23-12-2016,40,75
24-12-2016,40,75
25-12-2016,40,75
26-12-2016,40,75
27-12-2016,40,75
28-12-2016,40,75
29-12-2016,40,75
30-12-2016,40,75
31-12-2016,40,75
01-01-2017,40,75
02-01-2017,40,75
03-01-2017,40,75
04-01-2017,40,75
05-01-2017,40,75
06-01-2017,40,75
07-01-2017,40,75
08-01-2017,40,75
09-01-2017,40,75
10-01-2017,40,75
11-01-2017,40,75
12-01-2017,40,75
13-01-2017,40,75
14-01-2017,40,75
15-01-2017,40,75
16-01-2017,40,75
17-01-2017,40,75
18-01-2017,40,75
19-01-2017,40,75
20-01-2017,40,75
21-01-2017,40,75
22-01-2017,40,75
23-01-2017,40,75
24-01-2017,40,75
25-01-2017,40,75
26-01-2017,40,75
27-01-2017,40,75
28-01-2017,40,75
29-01-2017,40,75
30-01-2017,40,75
31-01-2017,40,75
01-02-2017,40,75
02-02-2017,40,75
03-02-2017,40,75
04-02-2017,40,75
05-02-2017,40,75
06-02-2017,40,75
07-02-2017,40,75
08-02-2017,40,75
09-02-2017,40,75
10-02-2017,40,75
