tr_date,tr_time,tr_open,tr_high,tr_low,tr_close,tr_segment,stock_name
03-01-2019,13:45:59,26976.25,26976.25,26962.75,26967.45,4,BANKNIFTY
03-01-2019,13:46:59,26967.15,26968.5,26941.95,26955.1,4,BANKNIFTY
03-01-2019,13:47:59,26953,26958.45,26940.25,26958.3,4,BANKNIFTY
03-01-2019,13:48:59,26958.35,26961.05,26947.15,26954,4,BANKNIFTY
03-01-2019,13:49:59,26956.15,26958.05,26950.95,26952.25,4,BANKNIFTY
03-01-2019,13:50:59,26951.5,26961.95,26944.05,26957.05,4,BANKNIFTY
03-01-2019,13:51:59,26957.3,26976.4,26957.3,26968.3,4,BANKNIFTY
03-01-2019,13:52:59,26968.05,26972.7,26966.95,26970.8,4,BANKNIFTY
03-01-2019,13:53:59,26971.7,26972.35,26964.65,26970.95,4,BANKNIFTY
03-01-2019,13:54:59,26969.9,26984.15,26968.4,26983.45,4,BANKNIFTY
03-01-2019,13:55:59,26980.9,26985.3,26974.3,26978.3,4,BANKNIFTY
03-01-2019,13:56:59,26979.3,26981.9,26976.65,26980.2,4,BANKNIFTY
03-01-2019,13:57:59,26979.5,26992.4,26979.5,26991.8,4,BANKNIFTY
03-01-2019,13:58:59,26990.85,27018,26990.65,27017.1,4,BANKNIFTY
03-01-2019,13:59:59,27016.7,27026.8,27014.2,27014.2,4,BANKNIFTY
03-01-2019,14:00:59,27012.1,27042.2,27008.45,27039.3,4,BANKNIFTY
03-01-2019,14:01:59,27039.7,27042.75,27006.4,27008.2,4,BANKNIFTY
03-01-2019,14:02:59,27008,27019.5,27006.6,27012.75,4,BANKNIFTY
03-01-2019,14:03:59,27011.95,27015.9,27006,27009.1,4,BANKNIFTY
03-01-2019,14:04:59,27009.7,27018.9,27008,27010.7,4,BANKNIFTY
03-01-2019,14:05:59,27011.15,27012.75,27007.3,27008.25,4,BANKNIFTY
03-01-2019,14:06:59,27008.15,27011.35,26991.6,26996.45,4,BANKNIFTY
03-01-2019,14:07:59,26995.35,27003.3,26995.35,26998.4,4,BANKNIFTY
03-01-2019,14:08:59,26997.95,26997.95,26992.45,26996.15,4,BANKNIFTY
03-01-2019,14:09:59,26994.6,26997.8,26990.5,26991.4,4,BANKNIFTY
03-01-2019,14:10:59,26991.75,26993.5,26973.4,26975.65,4,BANKNIFTY
03-01-2019,14:11:59,26975.8,26981.2,26959.1,26959.1,4,BANKNIFTY
03-01-2019,14:12:59,26958.85,26963.65,26952.95,26962,4,BANKNIFTY
03-01-2019,14:13:59,26961.2,26969.7,26956.65,26965.2,4,BANKNIFTY
03-01-2019,14:14:59,26966.1,26973.7,26963.9,26973.7,4,BANKNIFTY
03-01-2019,14:15:59,26972.65,26997.55,26972.55,26988.25,4,BANKNIFTY
03-01-2019,14:16:59,26988.9,26990.1,26981.6,26984.05,4,BANKNIFTY
03-01-2019,14:17:59,26986.95,26991.8,26977.75,26981.35,4,BANKNIFTY
03-01-2019,14:18:59,26979.8,26988.65,26976.25,26979.8,4,BANKNIFTY
03-01-2019,14:19:59,26979.35,26999.7,26979.35,26996.15,4,BANKNIFTY
03-01-2019,14:20:59,26995.2,27002.45,26994.75,26996.85,4,BANKNIFTY
03-01-2019,14:21:59,26996.25,26998.45,26992,26993.15,4,BANKNIFTY
03-01-2019,14:22:59,26993.85,26996.65,26979.5,26982.05,4,BANKNIFTY
03-01-2019,14:23:59,26979.45,26993.5,26979.45,26983.05,4,BANKNIFTY
03-01-2019,14:24:59,26983.55,26984.95,26963.35,26963.35,4,BANKNIFTY
03-01-2019,14:25:59,26963,26974.95,26962.55,26962.9,4,BANKNIFTY
03-01-2019,14:26:59,26963.85,26976.55,26962.5,26976.55,4,BANKNIFTY
03-01-2019,14:27:59,26976.05,26986.4,26975.75,26981.6,4,BANKNIFTY
03-01-2019,14:28:59,26981.95,26994.15,26976.05,26990.6,4,BANKNIFTY
03-01-2019,14:29:59,26989.45,26999,26984.4,26986.85,4,BANKNIFTY
03-01-2019,14:30:59,26987.15,26996.15,26984.85,26992,4,BANKNIFTY
03-01-2019,14:31:59,26992.8,26993.75,26977.15,26979,4,BANKNIFTY
03-01-2019,14:32:59,26978.3,26986.9,26977.9,26984.8,4,BANKNIFTY
03-01-2019,09:07:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:08:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:09:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:10:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:11:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:12:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:13:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:14:59,27181.6,27181.6,27181.6,27181.6,4,BANKNIFTY
03-01-2019,09:15:59,27193.7,27206.2,27140.75,27141.75,4,BANKNIFTY
03-01-2019,09:16:59,27145.45,27146.8,27090.8,27096.45,4,BANKNIFTY
03-01-2019,09:17:59,27103.5,27117.65,27099.1,27116.45,4,BANKNIFTY
03-01-2019,09:18:59,27118.6,27128.55,27113.4,27126.65,4,BANKNIFTY
03-01-2019,09:19:59,27126.4,27128.4,27112.7,27113.25,4,BANKNIFTY
03-01-2019,09:20:59,27113.05,27115.35,27083.3,27091.2,4,BANKNIFTY
03-01-2019,09:21:59,27090.85,27101.2,27084.45,27088.05,4,BANKNIFTY
03-01-2019,09:22:59,27088.05,27090.65,27070,27071.3,4,BANKNIFTY
03-01-2019,09:23:59,27071.25,27073.05,27057.95,27073.05,4,BANKNIFTY
03-01-2019,09:24:59,27073.75,27073.75,27049.9,27061.8,4,BANKNIFTY
03-01-2019,09:25:59,27063.15,27068.9,27052.1,27068.9,4,BANKNIFTY
